wl,F1,F2,F3,F4,F5,F6,F7,F8,CLEAR,NIR
300,0,0,0,0,0,0,0,0,0,0
302,0,0,0,0,0,0,0,0,0,0
304,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,0,0,0,0,0,0
318,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0
322,0,0,0,0,0,0,0,0,0,0
324,0,0,0,0,0,0,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0
332,0,0,0,0,0,0,0,0,0,0
334,0,0,0,0,0,0,0,0,0,0
336,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0
342,0,0,0,0,0,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0
352,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,0,0,0,0,0
362,0,0,0,0,0,0,0,0,0,0
364,0,0,0,0,0,0,0,0,0,0
366,0,0,0,0,0,0,0,0,0,0
368,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,0,0,0,0,0,0
378,0,0,0,0,0,0,0,0,0,0
380,0,0,0,0,0,0,0,0,0,0
382,0,0,0,0,0,0,0,0,0,0
384,0,0,0,0,0,0,0,0,0,0
386,0,0,0,0,0,0,0,0,0.00511862,0
388,0,0,0,0,0,0,0,0,0.01245702,0
390,0,0,0,0,0,0,0,0,0.026706203,0
392,0,0,0,0,0,0,0,0,0.044947802,0
394,0,0,0,0,0,0,0,0,0.057647835,0
396,0.01377722,0,0,0,0,0,0,0,0.085588532,0
398,0.115901125,0,0,0,0,0,0,0,0.11016144,0
400,0.221780845,0,0,0,0,0,0,0,0.133806386,0
402,0.349836162,0,0,0,0,0,0,0,0.158866599,0
404,0.47431406,0,0,0,0,0,0,0,0.183432434,0
406,0.646688881,0,0,0,0,0,0,0,0.204887796,0
408,0.764073797,0,0,0,0,0,0,0,0.221618852,0
410,0.891046314,0,0,0,0,0,0,0,0.237505739,0
412,0.94225644,0,0,0,0,0,0,0,0.247012,0
414,0.977755588,0,0,0,0,0,0,0,0.261322771,0
416,0.992628087,0,0,0,0,0,0,0,0.269215292,0
418,1,0.019090663,0,0,0,0,0,0,0.277956265,0
420,0.982025045,0.054747737,0,0,0,0,0,0,0.278895319,0
422,0.935605151,0.103293905,0,0,0,0,0,0,0.2933379,0
424,0.871737336,0.174407025,0,0,0,0,0,0,0.300028449,0
426,0.797685788,0.255337765,0,0,0,0,0,0,0.313511409,0
428,0.673826644,0.359453433,0,0,0,0,0,0,0.313805037,0
430,0.556368566,0.471982477,0,0,0,0,0,0,0.3214005,0
432,0.408435501,0.59796826,0,0,0,0,0,0,0.325948248,0
434,0.274706645,0.715203058,0,0,0,0,0,0,0.332144205,0
436,0.163939982,0.808303112,0,0,0,0,0,0,0.33886656,0
438,0.087471619,0.888318161,0,0,0,0,0,0,0.345330999,0
440,0.038645997,0.948529181,0,0,0,0,0,0,0.350494775,0
442,0.003634781,0.986356451,0.005450585,0,0,0,0,0,0.356533124,0
444,0,1,0.020770199,0,0,0,0,0,0.359572542,0
446,0,0.99731422,0.045520566,0,0,0,0,0,0.370544106,0
448,0,0.985419057,0.071142725,0,0,0,0,0,0.377184952,0
450,0,0.955265998,0.110907861,0,0,0,0,0,0.383692678,0
452,0,0.896058793,0.157022752,0,0,0,0,0,0.388751311,0
454,0,0.836170175,0.210872831,0,0,0,0,0,0.392668602,0
456,0,0.74516429,0.288449933,0,0,0,0,0.000557979,0.400479183,0
458,0,0.633411171,0.37809011,0,0,0,0,0,0.407185231,0
460,0,0.516956182,0.466350837,0,0,0,0,0.001094454,0.411464893,0
462,0,0.391772719,0.576907087,0,0,0,0,0.002170171,0.419863045,0
464,0,0.268731107,0.686317952,0,0,0,0,0.000537971,0.425518797,0
466,0,0.180531407,0.797315368,0,0,0,0,0.002669674,0.428843385,0
468,0,0.108097683,0.894827914,0,0,0,0,0.001590542,0.43618243,0
470,0,0.063523154,0.95006301,0,0,0,0,0.001579733,0.442216841,0
472,0,0.03736327,0.973466005,0.003673063,0,0,0,0.002094326,0.446091698,0
474,0,0.022095479,0.988438055,0.008341,0,0,0,0,0.453351188,0
476,0,0,1,0.019696735,0,0,0,0,0.459600463,0
478,0,0,0.998294547,0.029913181,0,0,0,0,0.462328701,0
480,0,0,0.984981986,0.048760486,0,0,0,0,0.468861005,0
482,0,0,0.964618533,0.065428392,0,0,0,0,0.474405464,0
484,0,0,0.930527057,0.095170578,0,0,0,0,0.481017916,0
486,0,0,0.88398037,0.127308911,0,0,0,0,0.485563528,0
488,0,0,0.821784967,0.174294215,0,0,0,0,0.491026802,0
490,0,0,0.756013578,0.229594896,0,0,0,0,0.49673051,0
492,0,0,0.681164048,0.294097397,0,0,0,0,0.50368522,0
494,0,0,0.597609053,0.365429438,0,0,0,0,0.506054385,0
496,0,0,0.499578506,0.451659733,0,0,0,0,0.513031075,0
498,0,0,0.40748502,0.548170991,0,0,0.000644291,0,0.517875102,0
500,0,0,0.314028551,0.643937993,0,0,0,0,0.525287667,0
502,0,0,0.23871814,0.731494735,0,0,0,0,0.530337248,0
504,0,0,0.177674024,0.811160189,0,0,0,0.001976545,0.536810704,0
506,0,0,0.143696099,0.865268855,0.000798685,0,0,0.001944563,0.54236635,0
508,0,0,0.125495858,0.907866615,0.007005581,0,0,0.00189517,0.542469627,0
510,0,0,0.099957138,0.955477093,0.010823715,0,0,0.001882326,0.549132517,0
512,0,0,0.072564225,0.987760318,0.020019495,0,0,0.001406007,0.554909893,0
514,0,0,0.051262983,1,0.029082491,0,0.001812404,0.000931675,0.559518,0
516,0,0,0.031319729,0.996926049,0.042867994,0,0.004192455,0,0.560327658,0
518,0,0,0.015246477,0.985600659,0.058349943,0,0.004160279,0,0.567214929,0
520,0,0,0.004661815,0.960709816,0.07818508,0,0.002952999,0.000455401,0.57032961,0
522,0,0,0.004648721,0.933890483,0.103705278,0,0.005300468,0.001362366,0.576488121,0
524,0,0,0.001747175,0.900860246,0.135717052,0,0.005312341,0.001820557,0.578890566,0
526,0,0,0.001753841,0.851183808,0.179769888,0,0.004147583,0.002741253,0.592252511,0
528,0,0,0,0.793105174,0.230150971,0,0.005956603,0.001837213,0.597642042,0
530,0,0,0,0.724639532,0.286320693,0,0.005409948,0.000927003,0.603105181,0
532,0,0,0,0.641255495,0.355383739,0,0.005435506,0,0.605954482,0
534,0,0,0,0.550080211,0.430894642,0,0.004854798,0,0.607726352,0
536,0,0,0,0.461861205,0.499293638,0,0.00493436,0,0.616524947,0
538,0.007117144,0,0,0.431972658,0.534414007,0.000648411,0.00888523,0.001489401,0.631940123,0
540,0.010304175,0,0,0.337700407,0.61973393,0,0.008576003,0.002012593,0.638724818,0
542,0.012400616,0.003762524,0,0.270475909,0.704210749,0,0.008974642,0.001937653,0.643999159,0
544,0.01506518,0.001804338,0,0.21870792,0.794927819,0.000577904,0.00791906,0.002920379,0.649424756,0
546,0.014475078,0.006501235,0.000326411,0.177162791,0.880087878,0.008329008,0.005623948,0.002550899,0.654501159,0
548,0.019736442,0.008317108,0.001565929,0.147663636,0.948978856,0.018114181,0.004443838,0.001468528,0.659054008,0
550,0.023841307,0.010770905,0.003004333,0.127768253,0.98709938,0.029642433,0.003653907,0.001878309,0.666035965,0
552,0.025010225,0.011151958,0.003764923,0.108194759,0.999690007,0.044339733,0.002348178,0.001357979,0.671324578,0
554,0.027658084,0.010115185,0.003950006,0.088169358,1,0.061435228,0.002859551,0.00264594,0.678240553,0
556,0.033582647,0.011389654,0.005257291,0.071515058,0.992784837,0.083785001,0.003645692,0.00302737,0.683103102,0
558,0.032862153,0.011145297,0.006498315,0.057044913,0.974092597,0.110084271,0.004939583,0.003808825,0.687560829,0
560,0.032746208,0.010544929,0.007941513,0.044575434,0.950981995,0.140049071,0.006439045,0.004758158,0.692409469,0
562,0.034205188,0.007852035,0.010541389,0.037454331,0.92166263,0.176261259,0.008859743,0.005826946,0.698011253,0
564,0.041524574,0.008530673,0.012354909,0.031158069,0.883403979,0.224465005,0.010518337,0.007144968,0.703366875,0
566,0.044782139,0.00786316,0.013028049,0.023004536,0.838334344,0.276425838,0.013924285,0.00851537,0.709060291,0
568,0.047956622,0.006972222,0.01598089,0.019668477,0.782923632,0.336324623,0.01781648,0.008742347,0.713444791,0
570,0.049641494,0.009119532,0.018388596,0.01752536,0.716825739,0.405150866,0.022454258,0.010042168,0.717714459,0
572,0.05145199,0.007174296,0.019883219,0.017603836,0.646681677,0.482359172,0.027599274,0.010471758,0.722397959,0
574,0.054379412,0.007874756,0.022027846,0.017086418,0.572308502,0.564365836,0.034132182,0.01109028,0.726560719,0
576,0.05251202,0.008851609,0.023956848,0.016805219,0.495754883,0.650996755,0.042860389,0.010907762,0.732090878,0
578,0.051322358,0.009550545,0.025687965,0.016899899,0.414381361,0.739613403,0.052486604,0.010439076,0.735914743,0
580,0.051751409,0.009183577,0.026647952,0.016250541,0.339399665,0.823582936,0.062881172,0.00953834,0.741646193,0
582,0.050838275,0.011247438,0.030453756,0.014216135,0.280566239,0.895223172,0.076651988,0.00898396,0.745694994,0
584,0.047204289,0.010635486,0.032839822,0.011605498,0.235630769,0.949475358,0.093153221,0.007511509,0.749166045,0
586,0.048809121,0.011900398,0.035849331,0.008423206,0.196898251,0.984107842,0.112230678,0.00715971,0.751205507,0
588,0.044886148,0.012636276,0.037074822,0.007919226,0.160623618,1,0.135634284,0.006507524,0.754612343,0
590,0.043785514,0.013896966,0.039494235,0.007733015,0.136150919,0.997583489,0.162112674,0.005401331,0.757633764,0
592,0.044976179,0.012271329,0.039326323,0.008162145,0.117899729,0.987209771,0.192910978,0.004302693,0.7645415,0
594,0.045253332,0.012742326,0.039364821,0.009049808,0.095677423,0.972043585,0.227867483,0.003673267,0.770449944,0
596,0.04778706,0.009579879,0.03763355,0.008552262,0.070475612,0.949237222,0.267982113,0.003047733,0.775280984,0
598,0.043924645,0.007986114,0.03511656,0.010180833,0.052809473,0.912240328,0.312846868,0.002577575,0.779164273,0
600,0.046107813,0.008393861,0.029869172,0.012130049,0.037132573,0.857520502,0.377528027,0.003458187,0.781821179,0
602,0.046319163,0.007411234,0.023256206,0.012264337,0.02388754,0.807501505,0.433538368,0.00375611,0.786815257,0
604,0.045364696,0.00705689,0.019436357,0.014152298,0.014622066,0.745054749,0.498168016,0.004272051,0.7905912,0
606,0.043089836,0.00909386,0.019206124,0.014809107,0.011182746,0.68028966,0.562842777,0.004886842,0.795053698,0
608,0.044931035,0.009295035,0.019979744,0.015534003,0.00945591,0.614516011,0.632322127,0.005584631,0.799649485,0
610,0.044975559,0.011940448,0.021125227,0.016433577,0.007697178,0.550221308,0.707274402,0.006692986,0.804440065,0
612,0.049213914,0.014277066,0.022063018,0.01706112,0.006633644,0.481107552,0.783346112,0.008184612,0.808289509,0
614,0.048498962,0.016518383,0.02296651,0.018629881,0.006845307,0.408829693,0.853621159,0.009722012,0.811910919,0
616,0.052036403,0.017726707,0.023629848,0.019238916,0.007199122,0.339748141,0.913989597,0.011893825,0.815044228,0
618,0.052428865,0.021329683,0.024944353,0.020661667,0.007713283,0.290592537,0.955794353,0.014390869,0.818996636,0
620,0.054588182,0.023927864,0.026327622,0.021120392,0.008368684,0.245529903,0.984174115,0.017678552,0.822927783,0
622,0.05689625,0.024566768,0.027877303,0.021637809,0.009148783,0.196071582,0.998897098,0.021297637,0.827597003,0
624,0.058301241,0.027802319,0.027795235,0.021385749,0.009747175,0.152889758,1,0.026410864,0.83304675,0
626,0.059064011,0.029142637,0.027824369,0.022073964,0.010548009,0.126085068,0.998193015,0.032523393,0.837455945,0
628,0.060331295,0.029642228,0.028668611,0.023557647,0.0115404,0.109330666,0.990998008,0.04003431,0.841725162,0
630,0.063873611,0.031604733,0.029666143,0.023865051,0.012696453,0.093107821,0.97554421,0.049962618,0.843711935,0
632,0.066817887,0.033972081,0.030318532,0.024186975,0.013168608,0.074775329,0.957713031,0.060600101,0.846358803,0
634,0.068854277,0.035503592,0.030826252,0.022412557,0.014540621,0.057138383,0.933586504,0.075035248,0.848660194,0
636,0.070844937,0.036993139,0.031003711,0.021055931,0.015519049,0.045918198,0.906640492,0.092596983,0.852302584,0
638,0.072777127,0.038435582,0.032032486,0.019253569,0.016669653,0.039465579,0.876885599,0.114771025,0.855786182,0
640,0.075597697,0.040371709,0.033016484,0.019230329,0.018110068,0.034125797,0.840799568,0.142239727,0.860137884,0
642,0.077195046,0.042279761,0.033690252,0.01946798,0.01899046,0.026559008,0.798357479,0.173225125,0.864588516,0
644,0.078509339,0.043591089,0.034546182,0.019620079,0.019583643,0.019761032,0.750423052,0.209904289,0.868570448,0
646,0.077724861,0.044085816,0.033996806,0.019697343,0.020037994,0.015726526,0.695771802,0.253410724,0.872585078,0
648,0.075614057,0.042497127,0.033179597,0.019930577,0.021300201,0.014485334,0.637044765,0.30106171,0.875952148,0
650,0.074263795,0.043016963,0.032107338,0.020313626,0.022592563,0.014105755,0.579876947,0.355129316,0.879104758,0
652,0.075247914,0.042556112,0.031574008,0.0208557,0.023505254,0.013751447,0.527624149,0.410855107,0.881802731,0
654,0.075525799,0.040475933,0.031139468,0.020935969,0.024626857,0.013402636,0.469219973,0.47124369,0.883624448,0
656,0.072808952,0.036750508,0.029713703,0.021604445,0.025611888,0.012912295,0.407445772,0.535391133,0.887600972,0
658,0.072928231,0.034210227,0.027134567,0.021323467,0.02762485,0.012899782,0.355015069,0.604111576,0.891744652,0
660,0.071844062,0.033680621,0.025094478,0.021987146,0.029322194,0.013513065,0.319748697,0.672852244,0.895874655,0
662,0.07346819,0.03362639,0.023630199,0.022348408,0.030454096,0.013955557,0.286580067,0.745997192,0.900124946,0
664,0.075539044,0.035245947,0.023898551,0.022792467,0.031193669,0.015451738,0.248292021,0.812540675,0.903651499,0
666,0.077977192,0.034979455,0.023901009,0.023433379,0.032255275,0.016026079,0.209704913,0.872169813,0.907329575,0
668,0.080179268,0.036101633,0.02382237,0.02325463,0.034077175,0.01600443,0.183706032,0.921415691,0.910470774,0
670,0.081738297,0.036293511,0.02340395,0.023882617,0.03613571,0.015838094,0.167079875,0.960501898,0.913067222,0
672,0.083940436,0.037079469,0.023693935,0.023594146,0.037918152,0.016410501,0.151374286,0.984433072,0.91619636,0
674,0.086902783,0.037636107,0.024067417,0.024366694,0.039406807,0.016975883,0.13207689,0.991814223,0.917699004,0
676,0.0902435,0.039305222,0.024944861,0.024746772,0.040888501,0.016549449,0.115791002,0.996164405,0.921995891,0
678,0.093126181,0.040500971,0.025637973,0.02427651,0.04276094,0.015426017,0.106193293,1,0.925264042,0
680,0.094863284,0.041046,0.026005533,0.023313911,0.044309175,0.014328928,0.100786055,0.998591078,0.930195304,0
682,0.094145155,0.041274102,0.026295623,0.022438213,0.046630929,0.014220456,0.094347437,0.988113994,0.933527835,0
684,0.093122808,0.042061106,0.026921186,0.022284226,0.048484163,0.014945556,0.084223762,0.973584972,0.937270564,0
686,0.093486727,0.043186028,0.028117968,0.022775009,0.049112583,0.01567157,0.073071423,0.954594051,0.940694084,0
688,0.093105097,0.044404021,0.029380485,0.022886204,0.048047748,0.016524574,0.066252763,0.928887774,0.943035071,0
690,0.09384913,0.045928816,0.030077865,0.022317267,0.045325316,0.017234997,0.062733338,0.898913322,0.945174279,0
692,0.091679751,0.047035164,0.03140817,0.021639737,0.042549496,0.017943716,0.05935686,0.865797471,0.947488198,0
694,0.086275241,0.047522323,0.032970319,0.02060893,0.041426748,0.018917652,0.05381446,0.828744789,0.949959546,0
696,0.08259098,0.048331572,0.033982875,0.02093837,0.040829717,0.020021122,0.047555238,0.786982671,0.952139699,0
698,0.079479473,0.049438919,0.0356041,0.021141786,0.040185876,0.020980812,0.043789578,0.738291682,0.95497615,0
700,0.078235602,0.050353941,0.037304283,0.021353122,0.038971462,0.021810092,0.042270128,0.684589494,0.957638592,0
702,0.076142535,0.052103743,0.038932192,0.02211564,0.036156135,0.021988999,0.041329718,0.625707242,0.960752506,0
704,0.075331407,0.052526802,0.040708525,0.02251631,0.033171364,0.021779362,0.039471424,0.564259078,0.963580438,0
706,0.074375055,0.053372097,0.042258419,0.022683101,0.031592687,0.02196912,0.035626584,0.507796045,0.965575873,0
708,0.072720279,0.051890382,0.043497591,0.022612231,0.031298365,0.022548423,0.032426989,0.45590408,0.968081824,0
710,0.071801297,0.050732063,0.044587408,0.023201382,0.031061766,0.023904722,0.031178656,0.398848344,0.969491009,0
712,0.072345529,0.049711013,0.045546994,0.024276366,0.03099112,0.025784166,0.030800507,0.337945013,0.971479032,0
714,0.073618193,0.049112861,0.046366727,0.024881145,0.031028402,0.02805048,0.030894363,0.282436701,0.972778196,0
716,0.077387625,0.049642023,0.047280079,0.025613379,0.030449214,0.029807784,0.029777052,0.241764668,0.974943378,0
718,0.080659716,0.050496238,0.047838476,0.026711706,0.030177879,0.031704643,0.027760222,0.213523473,0.97789726,0
720,0.084807881,0.052451479,0.047869596,0.027218368,0.030730693,0.033727149,0.026435674,0.185341973,0.980875652,0
722,0.087368377,0.053404323,0.046244822,0.027311833,0.031766744,0.036771765,0.025724852,0.153213818,0.983872024,0
724,0.090337985,0.05349317,0.043750224,0.026834324,0.032678599,0.040607032,0.025719486,0.12375776,0.985965416,0
726,0.093329423,0.053395246,0.04134217,0.027012297,0.033259977,0.045348406,0.025109905,0.104165335,0.988589564,0
728,0.095829442,0.054217441,0.040982479,0.027200404,0.033902359,0.049339857,0.02321139,0.092609826,0.98942692,0
730,0.100089486,0.055239857,0.041375704,0.027742528,0.033674013,0.05051346,0.021311082,0.082987575,0.98967902,0
732,0.1045893,0.057397464,0.04224601,0.028360509,0.032932081,0.045044589,0.020108592,0.072692528,0.989927491,0
734,0.10877903,0.060079196,0.043509026,0.02839705,0.032635069,0.033794846,0.020211058,0.059326942,0.989761843,0
736,0.113372737,0.061986347,0.044791146,0.028858552,0.032785878,0.025870472,0.020704391,0.047066571,0.989801606,0
738,0.114847351,0.06372609,0.045263432,0.028918597,0.033048786,0.023344768,0.02105484,0.039284,0.990125263,0
740,0.117776979,0.064077171,0.045521443,0.029224413,0.033028621,0.023787284,0.021104156,0.034684151,0.991429482,0
742,0.120572015,0.065052662,0.046325197,0.030075949,0.032576206,0.024497024,0.021622204,0.030963216,0.993127682,0
744,0.124325178,0.06666977,0.047305738,0.031483574,0.030466836,0.025481036,0.021687498,0.02627876,0.994522848,0
746,0.128506799,0.068831246,0.048463593,0.032911994,0.027764523,0.026219984,0.022383049,0.021633897,0.996736713,0
748,0.131507932,0.07093125,0.049955399,0.03454359,0.025695298,0.027366664,0.023325833,0.018467373,0.997568866,0
750,0.133850965,0.073171912,0.051164938,0.036380114,0.024758686,0.028925108,0.02443978,0.017455863,0.998709267,0
752,0.133887576,0.075035105,0.052007683,0.038057666,0.024218183,0.02984276,0.025725789,0.017167544,0.999779784,0
754,0.131420435,0.075490188,0.052329319,0.039274318,0.023881056,0.030911233,0.026794799,0.017126078,1,0
756,0.12568626,0.075770424,0.051733501,0.041254594,0.023348474,0.032268675,0.027805084,0.017090751,0.999557794,0
758,0.117258705,0.074877093,0.049529298,0.042930154,0.022480092,0.034077998,0.028536387,0.016826516,0.999262395,0
760,0.112549971,0.074894913,0.047347802,0.044549383,0.021215803,0.035947859,0.029549345,0.016638623,0.997445071,0
762,0.111204972,0.074091885,0.046046571,0.046519896,0.019963514,0.037941705,0.030383256,0.016305884,0.996698809,0
764,0.114492697,0.075599423,0.045917784,0.049126353,0.018481636,0.040082082,0.031704627,0.016528353,0.996477524,0
766,0.116715191,0.077251171,0.04644593,0.051396286,0.017765378,0.042120647,0.033131826,0.0170105,0.995569742,0
768,0.120443404,0.079994665,0.04703834,0.053568964,0.018107765,0.043545538,0.034536689,0.017774992,0.996648958,0
770,0.124944876,0.082218531,0.048022766,0.05545141,0.018423508,0.044203763,0.03542024,0.018443581,0.996682243,0
772,0.129876371,0.083892413,0.048855082,0.057265565,0.018499056,0.042540493,0.035248064,0.018831276,0.996377944,0
774,0.134358336,0.086267424,0.049745817,0.057594732,0.019064973,0.040330916,0.033724352,0.019048116,0.995892946,0
776,0.137638114,0.087397197,0.049281383,0.056587707,0.019518428,0.037796392,0.032084725,0.019126148,0.996148103,0
778,0.138255077,0.086674882,0.048747167,0.054475709,0.019821369,0.035111242,0.031123081,0.019867577,0.996291384,0
780,0.138317392,0.08551693,0.049230152,0.053214316,0.020347861,0.032265521,0.030586487,0.020620144,0.993595859,0
782,0.139231411,0.085847248,0.050417162,0.051963489,0.020562022,0.029261414,0.030315475,0.021256683,0.991304586,0
